,approach,fold,log,precision
375,Theis_no_resource,2,bpi_challenge_2012_w,0.7883969502149504
376,Theis_no_resource,1,bpi_challenge_2012_w,0.8178575001805932
377,Theis_no_resource,4,bpi_challenge_2012_w,0.7900648950060492
378,Theis_no_resource,3,bpi_challenge_2012_w,0.7469401458236803
379,Theis_no_resource,0,bpi_challenge_2012_w,0.7906042045695586
380,Theis_no_resource,4,sepsis,0.5806945580098108
381,Theis_no_resource,3,sepsis,0.552768116258058
382,Theis_no_resource,1,sepsis,0.5541811300694984
383,Theis_no_resource,2,sepsis,0.530807928056689
384,Theis_no_resource,0,sepsis,0.5993730666294609
385,Theis_no_resource,3,env_permit,0.8377365252083722
386,Theis_no_resource,4,env_permit,0.846239787199102
387,Theis_no_resource,1,env_permit,0.8353288624975397
388,Theis_no_resource,0,env_permit,0.8461705144177872
389,Theis_no_resource,2,env_permit,0.837941324301937
390,Theis_no_resource,3,bpi_challenge_2012_o,0.8443496030810651
391,Theis_no_resource,4,bpi_challenge_2012_o,0.8359401869438342
392,Theis_no_resource,1,bpi_challenge_2012_o,0.8478658294621956
393,Theis_no_resource,2,bpi_challenge_2012_o,0.8393273986876559
394,Theis_no_resource,0,bpi_challenge_2012_o,0.8421605924396771
395,Theis_no_resource,0,bpi_challenge_2012_complete,0.7303784770550904
396,Theis_no_resource,3,bpi_challenge_2012_complete,0.742130316408134
397,Theis_no_resource,2,bpi_challenge_2012_complete,0.7434643684901624
398,Theis_no_resource,4,bpi_challenge_2012_complete,0.7504796269906917
399,Theis_no_resource,1,bpi_challenge_2012_complete,0.7405332424987452
400,Theis_no_resource,1,bpi_challenge_2013_closed_problems,0.46844634124045886
401,Theis_no_resource,2,bpi_challenge_2013_closed_problems,0.44397092737473154
402,Theis_no_resource,4,bpi_challenge_2013_closed_problems,0.5937083739758644
403,Theis_no_resource,3,bpi_challenge_2013_closed_problems,0.5791237055319512
404,Theis_no_resource,0,bpi_challenge_2013_closed_problems,0.6127081708170986
405,Theis_no_resource,4,bpi_challenge_2012,0.8280110961887853
406,Theis_no_resource,0,bpi_challenge_2012,0.8162113917484879
407,Theis_no_resource,3,bpi_challenge_2012,0.8090457230358977
408,Theis_no_resource,1,bpi_challenge_2012,0.8252419541515889
409,Theis_no_resource,2,bpi_challenge_2012,0.828120580128339
410,Theis_no_resource,3,nasa,0.8795076406067859
411,Theis_no_resource,0,nasa,0.8778322000865332
412,Theis_no_resource,1,nasa,0.87464266726324
413,Theis_no_resource,2,nasa,0.8826909874068454
414,Theis_no_resource,4,nasa,0.8822186571523258
415,Theis_no_resource,4,bpi_challenge_2012_w_complete,0.780478772133948
416,Theis_no_resource,2,bpi_challenge_2012_w_complete,0.7908219143504613
417,Theis_no_resource,1,bpi_challenge_2012_w_complete,0.7764191236186352
418,Theis_no_resource,3,bpi_challenge_2012_w_complete,0.7882956794335237
419,Theis_no_resource,0,bpi_challenge_2012_w_complete,0.7784742326908863
420,Camargo,0,helpdesk,0.8134311201785188
421,Camargo,1,helpdesk,0.8088779789905516
422,Camargo,2,helpdesk,0.7731271681238997
423,Camargo,3,helpdesk,0.7529699788439016
424,Camargo,4,helpdesk,0.813889619691822
425,Camargo,0,bpi_challenge_2012_a,0.6653177467474833
426,Camargo,1,bpi_challenge_2012_a,0.6851056067842581
427,Camargo,2,bpi_challenge_2012_a,0.6489840787230815
428,Camargo,3,bpi_challenge_2012_a,0.6870855200736306
429,Camargo,4,bpi_challenge_2012_a,0.6738999884818831
430,Camargo,0,bpi_challenge_2013_incidents,0.6058063739991211
431,Camargo,1,bpi_challenge_2013_incidents,0.6158968662420674
432,Camargo,2,bpi_challenge_2013_incidents,0.6159868048499193
433,Camargo,3,bpi_challenge_2013_incidents,0.6185521424871239
434,Camargo,4,bpi_challenge_2013_incidents,0.597910331584957
435,Camargo,0,bpi_challenge_2012_w,0.7617657972553453
436,Camargo,1,bpi_challenge_2012_w,0.7743701739151978
437,Camargo,2,bpi_challenge_2012_w,0.7086290621385872
438,Camargo,3,bpi_challenge_2012_w,0.7746114941793948
439,Camargo,4,bpi_challenge_2012_w,0.6712383877125727
440,Camargo,0,env_permit,0.8508198750663077
441,Camargo,1,env_permit,0.8699637694608686
442,Camargo,2,env_permit,0.8566802327657196
443,Camargo,3,env_permit,0.881193238613685
444,Camargo,4,env_permit,0.8603164953116145
445,Camargo,0,bpi_challenge_2012_o,0.8923944445933668
446,Camargo,1,bpi_challenge_2012_o,0.8600008883298693
447,Camargo,2,bpi_challenge_2012_o,0.8421490259477038
448,Camargo,3,bpi_challenge_2012_o,0.8791681067262658
449,Camargo,4,bpi_challenge_2012_o,0.8788946275952393
450,Camargo,0,bpi_challenge_2012_complete,0.7628932126836325
451,Camargo,1,bpi_challenge_2012_complete,0.7737284120707546
452,Camargo,2,bpi_challenge_2012_complete,0.7557359113624246
453,Camargo,3,bpi_challenge_2012_complete,0.7661853802641603
454,Camargo,4,bpi_challenge_2012_complete,0.7822893587406112
455,Camargo,0,bpi_challenge_2013_closed_problems,0.5403671680577914
