,approach,fold,log,mcc
297,Hinkka,0,bpi_challenge_2012_o,0.8526530841799976
298,Hinkka,3,bpi_challenge_2012_o,0.849339081450958
299,Hinkka,4,bpi_challenge_2012_o,0.8517326686481214
300,Theis_resource,3,nasa,0.8623847806997269
301,Theis_resource,0,nasa,0.8635826237075339
302,Theis_resource,1,nasa,0.8600335076520269
303,Theis_resource,2,nasa,0.8618654259911745
304,Theis_resource,4,nasa,0.8597802908346633
305,Theis_resource,0,bpi_challenge_2012_complete,0.7338281375898716
306,Theis_resource,3,bpi_challenge_2012_complete,0.7315914660599065
307,Theis_resource,2,bpi_challenge_2012_complete,0.7389240647697135
308,Theis_resource,4,bpi_challenge_2012_complete,0.7335739624085732
309,Theis_resource,1,bpi_challenge_2012_complete,0.7371151905369346
310,Theis_resource,4,bpi_challenge_2012_a,0.6207861239387075
311,Theis_resource,2,bpi_challenge_2012_a,0.6323868214346425
312,Theis_resource,1,bpi_challenge_2012_a,0.6257172724142699
313,Theis_resource,3,bpi_challenge_2012_a,0.6220721455331332
314,Theis_resource,0,bpi_challenge_2012_a,0.6325048350161474
315,Theis_resource,0,bpi_challenge_2013_incidents,0.39947218454647654
316,Theis_resource,2,bpi_challenge_2013_incidents,0.4064742834472215
317,Theis_resource,4,bpi_challenge_2013_incidents,0.41563419605449897
318,Theis_resource,1,bpi_challenge_2013_incidents,0.4002580020789913
319,Theis_resource,3,bpi_challenge_2013_incidents,0.37423549019482144
320,Theis_resource,3,helpdesk,0.6820675685870548
321,Theis_resource,2,helpdesk,0.6960271150448624
322,Theis_resource,0,helpdesk,0.7008019416488728
323,Theis_resource,1,helpdesk,0.7086901921069602
324,Theis_resource,4,helpdesk,0.7108985043360716
325,Theis_resource,4,bpi_challenge_2012,0.7989804905618423
326,Theis_resource,0,bpi_challenge_2012,0.7979353874722563
327,Theis_resource,3,bpi_challenge_2012,0.7958173538712041
328,Theis_resource,1,bpi_challenge_2012,0.7980874949406872
329,Theis_resource,2,bpi_challenge_2012,0.8085476484504078
330,Theis_resource,3,env_permit,0.8232694207052518
331,Theis_resource,4,env_permit,0.8134546644347559
332,Theis_resource,1,env_permit,0.8156359441783282
333,Theis_resource,0,env_permit,0.8192626780147031
334,Theis_resource,2,env_permit,0.8075668777575314
335,Theis_resource,2,bpi_challenge_2012_w,0.8484812390083455
336,Theis_resource,1,bpi_challenge_2012_w,0.8427616644136112
337,Theis_resource,4,bpi_challenge_2012_w,0.856206141240941
338,Theis_resource,3,bpi_challenge_2012_w,0.8639807047545132
339,Theis_resource,0,bpi_challenge_2012_w,0.8580949705030355
340,Theis_resource,4,bpi_challenge_2012_w_complete,0.7812603231999897
341,Theis_resource,2,bpi_challenge_2012_w_complete,0.7952115893789381
342,Theis_resource,1,bpi_challenge_2012_w_complete,0.7782318002547768
343,Theis_resource,3,bpi_challenge_2012_w_complete,0.7781303934257182
344,Theis_resource,0,bpi_challenge_2012_w_complete,0.7773089393331604
345,Theis_resource,4,sepsis,0.5120949899207513
346,Theis_resource,3,sepsis,0.48028615638372246
347,Theis_resource,1,sepsis,0.4499720239920865
348,Theis_resource,2,sepsis,0.5028285163840298
349,Theis_resource,0,sepsis,0.5286002344902301
350,Theis_resource,1,bpi_challenge_2013_closed_problems,0.3456946310737007
351,Theis_resource,2,bpi_challenge_2013_closed_problems,0.34086437264420233
352,Theis_resource,4,bpi_challenge_2013_closed_problems,0.3617997012189524
353,Theis_resource,3,bpi_challenge_2013_closed_problems,0.421575998375669
354,Theis_resource,0,bpi_challenge_2013_closed_problems,0.3325847477152748
355,Theis_resource,3,bpi_challenge_2012_o,0.7279524549675839
356,Theis_resource,4,bpi_challenge_2012_o,0.720666773998542
357,Theis_resource,1,bpi_challenge_2012_o,0.7372728152775264
358,Theis_resource,2,bpi_challenge_2012_o,0.7286572012678543
359,Theis_resource,0,bpi_challenge_2012_o,0.7406332690709357
360,Theis_no_resource,3,nasa,0.8899903403577016
361,Theis_no_resource,0,nasa,0.8869021526264564
362,Theis_no_resource,1,nasa,0.8864762537625186
363,Theis_no_resource,2,nasa,0.8890138871466332
364,Theis_no_resource,4,nasa,0.8885767624648144
