accuracy,approach,fold,log
0.5978407557354926,Theis_resource,3,bpi_challenge_2013_closed_problems
0.5216216216216216,Theis_resource,0,bpi_challenge_2013_closed_problems
0.51689453125,Theis_resource,0,bpi_challenge_2013_incidents
0.5249192897497982,Theis_resource,2,bpi_challenge_2013_incidents
0.5195367573011077,Theis_resource,4,bpi_challenge_2013_incidents
0.5145194274028629,Theis_resource,1,bpi_challenge_2013_incidents
0.4991006342895011,Theis_resource,3,bpi_challenge_2013_incidents
0.5942145439935718,Theis_resource,4,sepsis
0.5755422587883321,Theis_resource,3,sepsis
0.5481142051462813,Theis_resource,1,sepsis
0.5893719806763285,Theis_resource,2,sepsis
0.599669830788279,Theis_resource,0,sepsis
0.8342888457971503,Theis_no_resource,4,bpi_challenge_2012
0.8300171159606333,Theis_no_resource,0,bpi_challenge_2012
0.8124662650862534,Theis_no_resource,3,bpi_challenge_2012
0.8335924369747899,Theis_no_resource,1,bpi_challenge_2012
0.833907146583203,Theis_no_resource,2,bpi_challenge_2012
0.7692307692307693,Theis_no_resource,3,helpdesk
0.7918864097363083,Theis_no_resource,2,helpdesk
0.7937806873977087,Theis_no_resource,0,helpdesk
0.7941666666666667,Theis_no_resource,1,helpdesk
0.7895615866388309,Theis_no_resource,4,helpdesk
0.8777529308124957,Theis_no_resource,2,bpi_challenge_2012_w
0.8714728633616236,Theis_no_resource,1,bpi_challenge_2012_w
0.8502735104327034,Theis_no_resource,4,bpi_challenge_2012_w
0.8325155268846721,Theis_no_resource,3,bpi_challenge_2012_w
0.8788838714025746,Theis_no_resource,0,bpi_challenge_2012_w
0.6552367288378766,Theis_no_resource,4,bpi_challenge_2012_a
0.6486986203953918,Theis_no_resource,2,bpi_challenge_2012_a
0.6545981173062998,Theis_no_resource,1,bpi_challenge_2012_a
0.6537097250960686,Theis_no_resource,3,bpi_challenge_2012_a
0.6630015707553906,Theis_no_resource,0,bpi_challenge_2012_a
0.8915177263404629,Theis_no_resource,3,nasa
0.888536908796228,Theis_no_resource,0,nasa
0.8877124747911265,Theis_no_resource,1,nasa
0.8901227352425483,Theis_no_resource,2,nasa
0.8900569426193605,Theis_no_resource,4,nasa
0.8615249780893953,Theis_no_resource,3,env_permit
0.8683055311676909,Theis_no_resource,4,env_permit
