,approach,f1-score,fold,log
442,Camargo,0.8183929534349983,2,bpi_challenge_2012
443,Camargo,0.8149881913913527,3,bpi_challenge_2012
444,Camargo,0.8092868439845575,4,bpi_challenge_2012
445,Camargo,0.6173183562661999,0,bpi_challenge_2013_incidents
446,Camargo,0.6113362534517294,1,bpi_challenge_2013_incidents
447,Camargo,0.6106516254963393,2,bpi_challenge_2013_incidents
448,Camargo,0.6165827273944322,3,bpi_challenge_2013_incidents
449,Camargo,0.615564317775521,4,bpi_challenge_2013_incidents
450,Camargo,0.8134669670866129,0,bpi_challenge_2012_o
451,Camargo,0.8142542056026285,1,bpi_challenge_2012_o
452,Camargo,0.791018873308647,2,bpi_challenge_2012_o
