,approach,accuracy,fold,log
277,Francescomarino,0.4040464323664275,1,env_permit
278,Francescomarino,0.3971489718780741,3,env_permit
279,Francescomarino,0.3834054954450966,0,env_permit
280,Taymouri,0.3194563232033768,2,sepsis
281,Taymouri,0.3137893058966687,3,sepsis
282,Taymouri,0.3171450303653887,0,sepsis
283,Taymouri,0.3428761222833724,4,sepsis
284,Taymouri,0.3152681505068678,1,sepsis
285,Taymouri,0.2843966300405158,1,bpi_challenge_2013_incidents
286,Taymouri,0.20326767022176,4,bpi_challenge_2013_incidents
287,Taymouri,0.2566612461139194,2,bpi_challenge_2013_incidents
288,Taymouri,0.1627921055872372,0,bpi_challenge_2013_incidents
289,Taymouri,0.3188460599864098,3,bpi_challenge_2013_incidents
290,Taymouri,0.3244279191042384,0,bpi_challenge_2012_complete
291,Taymouri,0.3534652840349604,2,bpi_challenge_2012_complete
292,Taymouri,0.3761738581616533,4,bpi_challenge_2012_complete
293,Taymouri,0.3562885548863319,1,bpi_challenge_2012_complete
294,Taymouri,0.3679718685740995,3,bpi_challenge_2012_complete
295,Taymouri,0.4972705100544358,1,bpi_challenge_2013_closed_problems
296,Taymouri,0.3953048522531996,2,bpi_challenge_2013_closed_problems
297,Taymouri,0.4382361463643715,0,bpi_challenge_2013_closed_problems
298,Taymouri,0.4255325382403533,3,bpi_challenge_2013_closed_problems
299,Taymouri,0.4226699775570074,4,bpi_challenge_2013_closed_problems
300,Taymouri,0.2783697492283594,3,bpi_challenge_2012_w
301,Taymouri,0.27913991224099,4,bpi_challenge_2012_w
302,Taymouri,0.2933584998185901,1,bpi_challenge_2012_w
303,Taymouri,0.231441779405733,0,bpi_challenge_2012_w
304,Taymouri,0.1643556124601808,2,bpi_challenge_2012_w
305,Taymouri,0.2840337863339269,1,bpi_challenge_2012_w_complete
306,Taymouri,0.3844821965073894,0,bpi_challenge_2012_w_complete
307,Taymouri,0.3279186974737296,2,bpi_challenge_2012_w_complete
308,Taymouri,0.2353667943053016,3,bpi_challenge_2012_w_complete
309,Taymouri,0.3685123103620235,4,bpi_challenge_2012_w_complete
310,Taymouri,0.613969178969179,0,helpdesk
311,Taymouri,0.6306706888808821,1,helpdesk
312,Taymouri,0.6252468193112501,3,helpdesk
313,Taymouri,0.6419015651934907,2,helpdesk
314,Taymouri,0.6373465830666918,4,helpdesk
315,Taymouri,0.4873407298441963,2,nasa
316,Taymouri,0.4850003320563111,0,nasa
317,Taymouri,0.4794787472022475,4,nasa
318,Taymouri,0.4978294184748338,3,nasa
319,Taymouri,0.4725106529245361,1,nasa
320,Taymouri,0.5382053642577497,0,bpi_challenge_2012_a
321,Taymouri,0.5759585471191567,3,bpi_challenge_2012_a
322,Taymouri,0.5369548586432914,2,bpi_challenge_2012_a
323,Taymouri,0.5361774500832571,1,bpi_challenge_2012_a
324,Taymouri,0.5224635791523243,4,bpi_challenge_2012_a
325,Taymouri,0.4851539034046326,4,bpi_challenge_2012_o
326,Taymouri,0.5233172339422965,0,bpi_challenge_2012_o
327,Taymouri,0.5305443743688106,2,bpi_challenge_2012_o
328,Taymouri,0.5263248479058977,1,bpi_challenge_2012_o
329,Taymouri,0.5095021361529274,3,bpi_challenge_2012_o
330,Taymouri,0.1598352468473523,4,bpi_challenge_2012
331,Taymouri,0.2158664369953861,0,bpi_challenge_2012
332,Taymouri,0.2336070590580293,2,bpi_challenge_2012
333,Taymouri,0.124077493714417,3,bpi_challenge_2012
334,Taymouri,0.2005853893435872,1,bpi_challenge_2012
335,Taymouri,0.6360578715811237,0,env_permit
336,Taymouri,0.3840894702736808,3,env_permit
337,Taymouri,0.3582296637554149,4,env_permit
338,Taymouri,0.3746260196759872,1,env_permit
339,Taymouri,0.3823698251124026,2,env_permit
0,ASTON,0.4218107466706253,0,bpi_challenge_2012
1,ASTON,0.6360485022508063,0,bpi_challenge_2012_a
2,ASTON,0.45801756550579514,0,bpi_challenge_2012_complete
3,ASTON,0.6259546064785598,0,bpi_challenge_2012_o
4,ASTON,0.39370600106871917,0,bpi_challenge_2012_w
5,ASTON,0.3656946450121098,0,bpi_challenge_2012_w_complete
6,ASTON,0.7192795645353122,0,bpi_challenge_2013_closed_problems
7,ASTON,0.625907870769579,0,bpi_challenge_2013_incidents
8,ASTON,0.8438660918920553,0,env_permit
9,ASTON,0.9001348420314744,0,helpdesk
10,ASTON,0.4601487124789672,0,nasa
11,ASTON,0.4095782124974369,0,sepsis
12,ASTON,0.40804393593643284,1,bpi_challenge_2012
13,ASTON,0.6435592110165868,1,bpi_challenge_2012_a
14,ASTON,0.4568053334906531,1,bpi_challenge_2012_complete
15,ASTON,0.6256940973909617,1,bpi_challenge_2012_o
16,ASTON,0.37587680362044557,1,bpi_challenge_2012_w
17,ASTON,0.33229290204019357,1,bpi_challenge_2012_w_complete
18,ASTON,0.6988739647445288,1,bpi_challenge_2013_closed_problems
19,ASTON,0.6277650404336467,1,bpi_challenge_2013_incidents
20,ASTON,0.8365913473804641,1,env_permit
21,ASTON,0.9044986047348997,1,helpdesk
22,ASTON,0.44983252479948066,1,nasa
23,ASTON,0.3707352207897886,1,sepsis
24,ASTON,0.38790576193145443,2,bpi_challenge_2012
25,ASTON,0.6322637004251355,2,bpi_challenge_2012_a
26,ASTON,0.44828935606520376,2,bpi_challenge_2012_complete
27,ASTON,0.6306254869012657,2,bpi_challenge_2012_o
28,ASTON,0.41677181182854606,2,bpi_challenge_2012_w
29,ASTON,0.37215398764253943,2,bpi_challenge_2012_w_complete
30,ASTON,0.6645235678078325,2,bpi_challenge_2013_closed_problems
31,ASTON,0.6194395947923848,2,bpi_challenge_2013_incidents
32,ASTON,0.8471852319392729,2,env_permit
33,ASTON,0.897303674398159,2,helpdesk
34,ASTON,0.4343860692531674,2,nasa
35,ASTON,0.3941084479501324,2,sepsis
36,ASTON,0.3828811479385018,3,bpi_challenge_2012
37,ASTON,0.6428952380952381,3,bpi_challenge_2012_a
38,ASTON,0.45684357400287395,3,bpi_challenge_2012_complete
39,ASTON,0.6249266974226123,3,bpi_challenge_2012_o
40,ASTON,0.41571313367992196,3,bpi_challenge_2012_w
41,ASTON,0.37388076474024307,3,bpi_challenge_2012_w_complete
42,ASTON,0.6699582681361649,3,bpi_challenge_2013_closed_problems
43,ASTON,0.6086893023975369,3,bpi_challenge_2013_incidents
44,ASTON,0.8621484179664924,3,env_permit
45,ASTON,0.8940798637438266,3,helpdesk
46,ASTON,0.4675501652598346,3,nasa
47,ASTON,0.4038721674532292,3,sepsis
48,ASTON,0.37270197683143824,4,bpi_challenge_2012
49,ASTON,0.6309529662405768,4,bpi_challenge_2012_a
50,ASTON,0.4521304613917785,4,bpi_challenge_2012_complete
51,ASTON,0.6267482380510112,4,bpi_challenge_2012_o
52,ASTON,0.3942956361507751,4,bpi_challenge_2012_w
53,ASTON,0.36715478451601125,4,bpi_challenge_2012_w_complete
54,ASTON,0.7132404014608351,4,bpi_challenge_2013_closed_problems
55,ASTON,0.6269715650323247,4,bpi_challenge_2013_incidents
56,ASTON,0.8448268197229004,4,env_permit
57,ASTON,0.9032889460219168,4,helpdesk
58,ASTON,0.45259568771997544,4,nasa
59,ASTON,0.40474313672683954,4,sepsis
0,DOGE,0.4113174716039523,0,bpi_challenge_2012
1,DOGE,0.41104346662237323,1,bpi_challenge_2012
2,DOGE,0.4029366262383556,2,bpi_challenge_2012
3,DOGE,0.39927937895651583,3,bpi_challenge_2012
4,DOGE,0.4058015940228593,4,bpi_challenge_2012
5,DOGE,0.6344538730599684,0,bpi_challenge_2012_a
6,DOGE,0.6442826549942933,1,bpi_challenge_2012_a
7,DOGE,0.6345792324267661,2,bpi_challenge_2012_a
8,DOGE,0.6462688492063492,3,bpi_challenge_2012_a
9,DOGE,0.6297675625477985,4,bpi_challenge_2012_a
10,DOGE,0.470641897216355,0,bpi_challenge_2012_complete
11,DOGE,0.47364570685352136,1,bpi_challenge_2012_complete
12,DOGE,0.4713055003775551,2,bpi_challenge_2012_complete
13,DOGE,0.4680078934686219,3,bpi_challenge_2012_complete
14,DOGE,0.47193295181974293,4,bpi_challenge_2012_complete
15,DOGE,0.6106467723100268,0,bpi_challenge_2012_o
16,DOGE,0.6138156850445979,1,bpi_challenge_2012_o
17,DOGE,0.6154294456634968,2,bpi_challenge_2012_o
18,DOGE,0.6121423500689849,3,bpi_challenge_2012_o
19,DOGE,0.6148693850633176,4,bpi_challenge_2012_o
20,DOGE,0.4004704020728887,0,bpi_challenge_2012_w
21,DOGE,0.397126,1,bpi_challenge_2012_w
