,approach,brier,fold,log
295,Hinkka,0.147940993959795,4,bpi_challenge_2012
296,Hinkka,0.15502801499970642,0,bpi_challenge_2012
297,Hinkka,0.15940205179155376,1,bpi_challenge_2012
298,Hinkka,0.11098975926133033,2,bpi_challenge_2012
299,Hinkka,0.13987385541973046,3,bpi_challenge_2012
300,Theis_resource,0.20850419226812725,2,bpi_challenge_2012_w
301,Theis_resource,0.2272484650706043,1,bpi_challenge_2012_w
302,Theis_resource,0.2056559566729758,4,bpi_challenge_2012_w
303,Theis_resource,0.1956622047436324,3,bpi_challenge_2012_w
304,Theis_resource,0.2201341719296236,0,bpi_challenge_2012_w
305,Theis_resource,0.21250310941721387,3,env_permit
306,Theis_resource,0.23141703034343233,4,env_permit
307,Theis_resource,0.22225033297433586,1,env_permit
308,Theis_resource,0.2331069822220593,0,env_permit
309,Theis_resource,0.23908255318597132,2,env_permit
310,Theis_resource,0.3302242908875519,3,helpdesk
311,Theis_resource,0.3062334133527523,2,helpdesk
312,Theis_resource,0.30812851093499793,0,helpdesk
313,Theis_resource,0.30195825499236784,1,helpdesk
314,Theis_resource,0.2966600840472637,4,helpdesk
315,Theis_resource,0.17537682508220973,3,nasa
316,Theis_resource,0.17068008999320447,0,nasa
317,Theis_resource,0.16955513618277637,1,nasa
318,Theis_resource,0.1741609275684889,2,nasa
319,Theis_resource,0.17469812806414675,4,nasa
320,Theis_resource,0.30248142273449774,3,bpi_challenge_2012_o
321,Theis_resource,0.30721105610519245,4,bpi_challenge_2012_o
322,Theis_resource,0.29102184869349257,1,bpi_challenge_2012_o
323,Theis_resource,0.3001273440278483,2,bpi_challenge_2012_o
324,Theis_resource,0.2850662883486018,0,bpi_challenge_2012_o
325,Theis_resource,0.6802848194918872,1,bpi_challenge_2013_closed_problems
326,Theis_resource,0.638169254294367,2,bpi_challenge_2013_closed_problems
327,Theis_resource,0.6263745966554444,4,bpi_challenge_2013_closed_problems
328,Theis_resource,0.5581990138590998,3,bpi_challenge_2013_closed_problems
329,Theis_resource,0.6040896856091436,0,bpi_challenge_2013_closed_problems
330,Theis_resource,0.3400443677086895,0,bpi_challenge_2012_complete
331,Theis_resource,0.34087420808905633,3,bpi_challenge_2012_complete
332,Theis_resource,0.33448821260921763,2,bpi_challenge_2012_complete
333,Theis_resource,0.34342915786225225,4,bpi_challenge_2012_complete
334,Theis_resource,0.3345822921252421,1,bpi_challenge_2012_complete
335,Theis_resource,0.42529483919740757,4,bpi_challenge_2012_a
336,Theis_resource,0.41854247973265685,2,bpi_challenge_2012_a
337,Theis_resource,0.4224184832634298,1,bpi_challenge_2012_a
338,Theis_resource,0.4252764843043503,3,bpi_challenge_2012_a
339,Theis_resource,0.4199393641428515,0,bpi_challenge_2012_a
340,Theis_resource,0.23686841547844636,4,bpi_challenge_2012_w_complete
341,Theis_resource,0.2187674363542841,2,bpi_challenge_2012_w_complete
342,Theis_resource,0.23509009131207592,1,bpi_challenge_2012_w_complete
