,approach,fold,log,recall
291,Hinkka,0,bpi_challenge_2012,0.8653609358165307
292,Hinkka,1,bpi_challenge_2012,0.8667953667953668
293,Hinkka,2,bpi_challenge_2012,0.8676047329708986
294,Hinkka,3,bpi_challenge_2012,0.865511823243002
295,Hinkka,1,sepsis,0.6244384546271339
296,Hinkka,4,sepsis,0.6387434554973822
297,Hinkka,2,sepsis,0.6340602950609365
298,Hinkka,0,sepsis,0.6374166374166375
299,Hinkka,3,sepsis,0.640278237827095
300,Theis_resource,3,nasa,0.8642689715792558
301,Theis_resource,0,nasa,0.8654781199351702
302,Theis_resource,1,nasa,0.8619994237971766
303,Theis_resource,2,nasa,0.863895382817066
304,Theis_resource,4,nasa,0.8614396262228062
305,Theis_resource,4,bpi_challenge_2012_w_complete,0.8378257365451778
306,Theis_resource,2,bpi_challenge_2012_w_complete,0.8490951276102088
307,Theis_resource,1,bpi_challenge_2012_w_complete,0.8344885883347422
308,Theis_resource,3,bpi_challenge_2012_w_complete,0.8357492469879518
309,Theis_resource,0,bpi_challenge_2012_w_complete,0.8349862258953168
310,Theis_resource,1,bpi_challenge_2013_closed_problems,0.532051282051282
311,Theis_resource,2,bpi_challenge_2013_closed_problems,0.5268542199488491
312,Theis_resource,4,bpi_challenge_2013_closed_problems,0.5543478260869565
313,Theis_resource,3,bpi_challenge_2013_closed_problems,0.5978407557354926
314,Theis_resource,0,bpi_challenge_2013_closed_problems,0.5216216216216216
315,Theis_resource,4,bpi_challenge_2012_a,0.651793400286944
316,Theis_resource,2,bpi_challenge_2012_a,0.6634902574313754
317,Theis_resource,1,bpi_challenge_2012_a,0.6538740043446778
318,Theis_resource,3,bpi_challenge_2012_a,0.6523795447827372
319,Theis_resource,0,bpi_challenge_2012_a,0.6620019991432243
320,Theis_resource,3,helpdesk,0.7829238824003222
321,Theis_resource,2,helpdesk,0.7926977687626775
322,Theis_resource,0,helpdesk,0.7978723404255319
323,Theis_resource,1,helpdesk,0.8045833333333333
324,Theis_resource,4,helpdesk,0.8062630480167015
325,Theis_resource,3,env_permit,0.8588957055214724
326,Theis_resource,4,env_permit,0.8498683055311677
327,Theis_resource,1,env_permit,0.8510998307952623
328,Theis_resource,0,env_permit,0.8535528596187175
329,Theis_resource,2,env_permit,0.8427152317880795
330,Theis_resource,3,bpi_challenge_2012_o,0.7650124631769771
331,Theis_resource,4,bpi_challenge_2012_o,0.7624818225884634
332,Theis_resource,1,bpi_challenge_2012_o,0.7731934731934732
333,Theis_resource,2,bpi_challenge_2012_o,0.7679730704496273
334,Theis_resource,0,bpi_challenge_2012_o,0.7756743965925225
335,Theis_resource,0,bpi_challenge_2012_complete,0.7559329414326148
336,Theis_resource,3,bpi_challenge_2012_complete,0.7543548208143792
337,Theis_resource,2,bpi_challenge_2012_complete,0.7612816044948615
338,Theis_resource,4,bpi_challenge_2012_complete,0.7565095256959701
339,Theis_resource,1,bpi_challenge_2012_complete,0.759327755233957
340,Theis_resource,2,bpi_challenge_2012_w,0.8638273361794403
341,Theis_resource,1,bpi_challenge_2012_w,0.8586326767091541
342,Theis_resource,4,bpi_challenge_2012_w,0.8706148252481247
343,Theis_resource,3,bpi_challenge_2012_w,0.8776378547163984
344,Theis_resource,0,bpi_challenge_2012_w,0.8723124620880232
345,Theis_resource,0,bpi_challenge_2013_incidents,0.51689453125
346,Theis_resource,2,bpi_challenge_2013_incidents,0.5249192897497982
347,Theis_resource,4,bpi_challenge_2013_incidents,0.5195367573011077
348,Theis_resource,1,bpi_challenge_2013_incidents,0.5145194274028629
349,Theis_resource,3,bpi_challenge_2013_incidents,0.4991006342895011
350,Theis_resource,4,bpi_challenge_2012,0.8086586291206475
351,Theis_resource,0,bpi_challenge_2012,0.8080231065468549
352,Theis_resource,3,bpi_challenge_2012,0.8056221257853488
353,Theis_resource,1,bpi_challenge_2012,0.8078151260504202
354,Theis_resource,2,bpi_challenge_2012,0.8179447052686489
355,Theis_resource,4,sepsis,0.5942145439935718
